Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,Amb
17,1,17,-,1,51,0.2,16,L-skew,2,0,0
65,0.5,-27,R-skew,5,19,1,19,Symm,9,0,0
45,0.4,18,-,1,109,0.25,-3,Symm,9,0,0
8,0.8,-32,-,1,252,0.1,-24,Symm,7,0,1
23,1,23,-,1,68,0.25,13,Symm,9,0,0
27,1,27,-,1,24,0.5,22,-,1,0,0
79,0.05,21,Symm,3,70,0.2,15,Symm,7,0,1
44,0.4,-6,Symm,7,73,0.05,17,-,1,0,1
23,1,23,-,1,44,0.05,25,-,1,0,0
-10,1,-10,-,1,-16,0.95,-16,-,1,0,0
45,0.2,-20,-,1,-7,1,-7,Symm,5,0,0
1,0.6,-1,-,1,38,0.5,-18,R-skew,5,0,0
95,0.2,5,-,1,18,0.01,17,-,1,0,0
5,1,5,-,1,20,0.2,3,-,1,0,0
27,1,27,-,1,22,0.4,16,Symm,3,0,1
16,1,16,-,1,34,0.1,8,Symm,9,0,0
18,1,18,-,1,45,0.05,26,-,1,0,0
28,0.9,-3,R-skew,3,41,0.1,33,Symm,9,0,0
54,0.4,-44,Symm,9,1,0.9,-37,L-skew,5,0,0
19,0.75,-14,R-skew,2,17,0.8,3,L-skew,6,0,1
20,1,20,-,1,54,0.4,2,Symm,7,0,1
17,0.5,15,R-skew,3,18,0.99,6,L-skew,4,0,0
88,0.25,-0,-,1,18,0.01,10,L-skew,5,0,0
41,0.6,-27,R-skew,3,26,0.75,-42,-,1,0,0
30,0.9,12,R-skew,4,28,1,28,Symm,7,0,0
30,1,30,-,1,50,0.1,20,Symm,5,0,0
29,1,29,-,1,94,0.4,-28,-,1,0,0
47,0.4,-43,Symm,3,21,0.25,-14,-,1,0,0
18,0.99,-41,-,1,56,0.25,-2,-,1,0,1
23,0.5,7,-,1,11,0.5,10,R-skew,7,0,0
24,0.5,-6,-,1,2,0.95,-26,-,1,0,1
26,0.1,12,Symm,9,13,1,13,Symm,5,0,0
43,0.5,-43,-,1,54,0.01,-6,-,1,0,0
-5,1,-5,-,1,34,0.4,-22,Symm,9,0,1
18,0.99,-34,R-skew,3,17,1,17,-,1,0,0
16,1,16,-,1,28,0.5,-8,-,1,0,1
56,0.6,-31,-,1,59,0.5,-19,Symm,5,0,0
8,1,8,-,1,13,0.75,-24,-,1,0,0
50,0.01,6,-,1,17,0.2,13,Symm,7,0,0
4,1,4,-,1,29,0.25,-11,Symm,7,0,0
56,0.01,1,R-skew,6,37,0.25,-8,-,1,0,0
9,1,9,-,1,67,0.01,5,Symm,5,0,0
-2,1,-2,-,1,32,0.5,-19,-,1,0,0
56,0.2,21,R-skew,7,76,0.5,-8,-,1,0,1
17,1,17,-,1,34,0.6,0,R-skew,3,0,0
-10,1,-10,-,1,-13,0.2,-16,Symm,7,0,0
21,1,21,-,1,21,0.99,19,-,1,0,0
79,0.5,-23,Symm,7,215,0.25,-43,L-skew,5,1,0
8,1,8,-,1,12,0.9,-8,-,1,0,1
37,0.1,13,-,1,153,0.2,-17,-,1,-1,0
13,0.9,-4,Symm,3,89,0.2,-3,L-skew,7,0,0
50,0.1,17,-,1,21,0.2,15,R-skew,2,0,0
-4,1,-4,-,1,-6,0.8,-15,Symm,3,0,0
23,1,23,-,1,46,0.4,4,-,1,0,0
26,1,26,-,1,39,0.01,32,-,1,0,0
53,0.01,22,-,1,19,0.95,-6,Symm,9,0,0
-10,1,-10,Symm,3,-10,1,-10,Symm,9,0,0
34,0.9,-9,-,1,45,0.1,25,Symm,9,0,0
49,0.5,-17,-,1,23,0.95,15,Symm,9,0,0
16,0.6,-29,Symm,3,94,0.25,-42,-,1,1,1
35,0.2,5,L-skew,2,20,0.9,-35,R-skew,4,0,0
27,1,27,-,1,32,0.95,-37,R-skew,5,0,1
5,1,5,-,1,72,0.4,-20,-,1,0,0
27,0.5,-3,-,1,13,0.2,5,Symm,9,-1,1
12,1,12,-,1,23,0.75,-30,Symm,9,0,0
18,1,18,-,1,167,0.2,-19,-,1,0,1
32,0.75,-45,-,1,42,0.1,23,Symm,7,0,1
40,0.6,-3,Symm,5,45,0.25,24,Symm,5,0,0
23,1,23,-,1,97,0.2,10,Symm,9,0,0
15,1,15,-,1,36,0.8,-16,-,1,0,0
16,0.4,6,R-skew,2,95,0.25,-22,L-skew,2,0,0
6,1,6,-,1,90,0.25,-19,-,1,0,0
43,0.2,7,Symm,3,44,0.05,14,-,1,1,0
25,1,25,-,1,41,0.2,26,-,1,0,0
0,0.95,-40,-,1,80,0.25,-39,-,1,1,0
11,0.5,-17,-,1,33,0.2,-21,L-skew,4,1,1
122,0.1,2,Symm,3,13,0.75,10,-,1,0,1
3,1,3,-,1,62,0.2,-15,-,1,0,0
-3,1,-3,-,1,-0,0.8,-27,-,1,0,0
-2,0.4,-5,-,1,62,0.4,-47,R-skew,7,0,0
24,0.2,-6,-,1,71,0.2,-13,-,1,1,0
42,0.4,14,R-skew,7,58,0.25,9,L-skew,4,0,0
2,0.95,-24,-,1,53,0.01,4,-,1,0,0
74,0.05,-13,-,1,10,0.1,-13,-,1,0,0
5,1,5,-,1,77,0.4,-39,-,1,0,0
-1,1,-1,-,1,62,0.2,-16,-,1,0,0
41,0.25,21,-,1,48,0.4,2,-,1,0,1
27,1,27,-,1,69,0.4,1,Symm,9,0,0
30,1,30,-,1,33,0.95,28,R-skew,2,0,0
-9,1,-9,-,1,17,0.6,-37,L-skew,3,0,0
44,0.5,-2,-,1,47,0.01,21,Symm,9,0,0
6,1,6,-,1,79,0.05,5,-,1,0,1
26,0.5,12,-,1,27,0.9,-25,R-skew,3,0,0
49,0.4,-8,Symm,7,25,0.9,12,-,1,0,0
7,0.99,-23,L-skew,6,7,0.95,-18,-,1,0,0
85,0.25,-2,Symm,5,29,0.99,26,-,1,-1,1
21,1,21,-,1,18,0.6,9,-,1,0,0
8,0.6,-14,-,1,39,0.05,-4,-,1,0,0
-9,1,-9,-,1,25,0.4,-21,R-skew,7,0,0
26,1,26,-,1,34,0.9,-17,Symm,3,0,0
-4,1,-4,-,1,5,0.75,-8,L-skew,3,0,0
54,0.1,4,-,1,13,0.6,-6,-,1,0,0
171,0.1,-29,-,1,-9,1,-9,-,1,0,0
16,0.25,5,R-skew,7,6,0.4,1,-,1,1,0
3,1,3,-,1,20,0.01,-2,R-skew,2,0,0
14,1,14,-,1,16,0.8,-21,L-skew,4,0,0
-6,1,-6,-,1,2,0.6,-5,-,1,0,0
18,1,18,-,1,23,0.9,-28,Symm,3,0,0
92,0.4,-18,-,1,25,0.5,9,-,1,0,0
51,0.5,-23,-,1,60,0.5,-40,-,1,-1,0
23,0.4,11,L-skew,3,27,0.25,7,-,1,-1,0
22,0.8,-42,Symm,7,77,0.1,-2,Symm,7,0,0
7,1,7,-,1,41,0.05,5,-,1,0,0
26,1,26,-,1,33,0.25,21,L-skew,6,0,0
68,0.1,15,-,1,28,0.9,7,Symm,9,0,0
-3,0.6,-5,-,1,111,0.1,-10,R-skew,6,0,0
71,0.25,2,-,1,67,0.05,21,Symm,5,0,0
2,0.9,-7,R-skew,7,161,0.05,-14,L-skew,7,-1,0
29,1,29,-,1,28,0.5,17,Symm,5,0,0
11,1,11,-,1,33,0.25,12,Symm,7,0,0
9,1,9,-,1,48,0.25,-15,Symm,9,0,0
26,1,26,-,1,52,0.4,4,L-skew,4,0,0
25,0.25,22,-,1,86,0.2,7,-,1,0,0
13,1,13,-,1,22,0.95,-40,-,1,0,0
35,0.8,-15,-,1,82,0.1,25,Symm,9,0,0
99,0.05,11,R-skew,5,40,0.5,2,-,1,0,0
53,0.2,13,-,1,29,0.25,20,-,1,0,0
88,0.01,7,-,1,94,0.2,-20,-,1,0,0
-8,1,-8,-,1,-16,0.8,-32,-,1,0,0
47,0.05,24,-,1,20,0.75,-1,-,1,0,0
15,1,15,-,1,28,0.1,11,Symm,5,0,0
9,1,9,-,1,11,0.5,-2,-,1,0,1
8,1,8,-,1,14,0.01,10,Symm,7,0,0
43,0.4,-15,-,1,80,0.4,-42,L-skew,3,-1,0
48,0.5,12,-,1,30,0.6,25,-,1,0,1
80,0.1,14,-,1,25,0.2,16,-,1,-1,1
21,1,21,-,1,22,0.75,17,-,1,0,0
7,1,7,-,1,4,0.4,1,Symm,7,0,0
29,0.6,-23,-,1,13,0.25,7,L-skew,3,0,0
28,0.6,-47,-,1,14,0.2,-12,Symm,3,0,0
24,1,24,-,1,128,0.2,-6,R-skew,4,0,0
57,0.2,-7,Symm,3,14,0.9,-24,Symm,3,0,0
26,1,26,-,1,40,0.6,3,Symm,3,0,0
1,0.05,-7,-,1,-4,0.95,-28,Symm,9,0,1
26,1,26,-,1,69,0.6,-43,-,1,0,0
70,0.1,-19,-,1,169,0.05,-19,-,1,0,1
6,0.8,1,L-skew,5,33,0.25,-4,-,1,0,0
70,0.6,-30,-,1,81,0.01,34,-,1,0,0
9,0.95,7,-,1,17,0.2,12,-,1,0,0
20,0.05,15,L-skew,2,21,0.5,19,-,1,0,0
29,0.75,-16,-,1,35,0.5,4,-,1,0,0
38,0.1,10,-,1,28,0.2,1,Symm,9,0,0
25,1,25,-,1,26,0.05,25,Symm,5,0,0
-7,1,-7,-,1,18,0.5,-24,-,1,0,0
24,1,24,-,1,22,0.5,22,Symm,3,0,0
19,1,19,-,1,22,0.8,-34,L-skew,2,0,0
29,1,29,-,1,35,0.5,14,-,1,0,1
-2,1,-2,-,1,77,0.01,-3,-,1,0,0
3,0.8,-32,-,1,17,0.2,-8,-,1,1,1
23,1,23,-,1,23,1,23,R-skew,3,0,0
8,1,8,-,1,45,0.01,2,R-skew,4,0,0
8,1,8,-,1,11,0.8,-26,Symm,5,0,0
20,1,20,-,1,32,0.8,-12,-,1,0,1
2,1,2,-,1,245,0.05,-10,-,1,0,0
17,1,17,-,1,128,0.25,-21,L-skew,7,0,0
45,0.2,19,Symm,9,97,0.2,3,-,1,0,0
28,1,28,-,1,110,0.2,5,-,1,0,1
8,1,8,-,1,16,0.9,-23,L-skew,3,0,0
15,1,15,-,1,43,0.4,4,Symm,5,0,0
14,1,14,-,1,15,0.05,0,-,1,0,0
6,1,6,-,1,18,0.6,-11,Symm,7,0,0
10,0.95,-10,Symm,7,8,0.5,6,Symm,7,0,0
29,0.01,29,-,1,125,0.2,7,-,1,0,0
43,0.01,6,L-skew,5,153,0.05,-9,L-skew,6,0,0
31,0.95,8,L-skew,6,30,1,30,Symm,7,0,0
-7,1,-7,-,1,-7,0.2,-8,R-skew,8,0,0
36,0.25,-20,-,1,86,0.2,-27,-,1,0,1
25,1,25,-,1,107,0.4,-14,Symm,7,0,1
23,1,23,-,1,23,0.8,11,R-skew,3,0,0
27,1,27,-,1,28,0.75,22,Symm,5,0,0
2,1,2,-,1,35,0.2,1,R-skew,3,0,0
67,0.05,18,Symm,5,73,0.2,1,R-skew,7,0,1
30,0.6,-15,-,1,100,0.01,13,-,1,1,0
10,1,10,-,1,35,0.5,-20,-,1,0,0
9,0.4,-6,-,1,11,0.5,-2,Symm,3,0,0
34,0.75,17,-,1,26,0.4,23,-,1,-1,0
70,0.6,-42,-,1,49,0.8,-2,-,1,0,1
12,0.6,-10,Symm,5,8,0.2,0,-,1,-1,1
70,0.25,-15,-,1,39,0.5,-34,Symm,9,0,1
28,0.95,8,-,1,99,0.5,-38,Symm,3,0,0
65,0.2,5,R-skew,4,18,0.8,-49,R-skew,6,0,0
14,1,14,-,1,18,0.01,8,R-skew,6,0,0
27,1,27,-,1,50,0.5,3,-,1,0,0
29,0.2,4,-,1,15,0.75,-15,-,1,0,1
4,1,4,-,1,-0,0.01,-1,-,1,0,0
2,1,2,-,1,18,0.9,-19,L-skew,2,0,1
29,0.2,-6,-,1,38,0.2,-10,-,1,0,0
2,0.05,-1,-,1,1,0.9,-43,-,1,0,1
26,1,26,-,1,22,0.95,-9,-,1,0,0
-1,0.99,-17,-,1,84,0.25,-30,Symm,9,0,0
18,1,18,-,1,34,0.5,16,Symm,3,0,0
5,1,5,-,1,40,0.5,-15,L-skew,5,0,0
11,1,11,-,1,37,0.5,-11,Symm,3,0,0
3,0.99,-45,-,1,56,0.25,-22,L-skew,4,0,0
14,1,14,-,1,26,0.6,-6,Symm,9,0,0
6,1,6,-,1,73,0.4,-33,-,1,0,0
-6,1,-6,-,1,-7,0.01,-10,R-skew,5,0,0
107,0.4,-26,L-skew,4,35,0.5,20,-,1,0,0
25,1,25,-,1,24,0.4,24,-,1,0,0
56,0.6,-39,L-skew,5,65,0.05,15,-,1,0,0
10,1,10,-,1,10,1,10,R-skew,6,0,0
22,1,22,-,1,28,0.9,18,-,1,0,1
29,1,29,-,1,72,0.5,-19,-,1,0,0
39,0.5,21,Symm,9,34,0.95,16,-,1,0,0
33,0.8,-37,-,1,151,0.25,-15,R-skew,2,0,0
17,1,17,-,1,80,0.2,-1,-,1,0,0
5,1,5,-,1,21,0.05,8,Symm,3,0,0
44,0.4,19,Symm,5,35,0.25,16,Symm,3,-1,0
26,1,26,-,1,26,1,26,Symm,5,0,0
17,0.95,10,L-skew,3,68,0.5,-30,Symm,7,0,1
44,0.2,-24,-,1,6,0.6,-30,-,1,0,0
-5,1,-5,-,1,27,0.01,-5,-,1,0,0
28,1,28,-,1,45,0.8,15,-,1,0,0
26,1,26,-,1,53,0.05,26,-,1,0,0
-7,1,-7,-,1,79,0.05,3,-,1,0,0
11,1,11,-,1,82,0.25,-3,-,1,0,0
14,1,14,-,1,122,0.05,14,-,1,0,0
21,0.75,-3,-,1,64,0.25,2,R-skew,2,0,1
20,0.2,-3,-,1,50,0.2,-9,Symm,3,-1,1
24,1,24,-,1,106,0.25,-7,-,1,0,0
11,1,11,-,1,50,0.05,12,-,1,0,1
69,0.05,26,-,1,50,0.2,26,L-skew,5,0,0
1,1,1,-,1,113,0.01,1,L-skew,6,0,0
-4,1,-4,-,1,35,0.4,-31,Symm,9,0,1
-1,1,-1,-,1,6,0.5,-11,R-skew,7,0,0
89,0.4,-11,R-skew,2,29,1,29,R-skew,4,0,0
58,0.05,-7,Symm,5,5,0.8,4,-,1,0,0
12,1,12,-,1,22,0.5,13,-,1,0,1
-0,0.8,-25,-,1,36,0.2,-17,-,1,1,0
16,0.01,13,-,1,86,0.4,-25,-,1,-1,0
63,0.2,-12,-,1,54,0.4,-38,L-skew,4,0,0
85,0.25,-30,-,1,3,0.8,-3,-,1,0,0
25,1,25,-,1,53,0.2,26,-,1,0,1
18,1,18,-,1,64,0.2,11,-,1,0,0
58,0.2,-7,R-skew,3,250,0.1,-16,Symm,3,-1,0
23,0.2,7,-,1,77,0.25,-10,Symm,3,0,1
38,0.6,1,-,1,52,0.05,26,-,1,0,0
39,0.1,23,-,1,129,0.25,-1,L-skew,6,0,0
-2,1,-2,Symm,9,18,0.4,-21,Symm,7,0,0
39,0.1,8,-,1,20,0.4,-1,-,1,0,0
-8,0.75,-16,R-skew,5,74,0.2,-35,Symm,5,0,0
19,0.2,-12,Symm,5,-2,0.75,-20,Symm,7,0,0
52,0.25,21,-,1,30,0.8,-20,R-skew,2,0,1
16,1,16,-,1,22,0.9,-35,Symm,5,0,0
35,0.01,24,-,1,24,1,24,-,1,0,0
26,0.05,8,L-skew,2,83,0.05,2,-,1,0,0
4,0.25,-13,L-skew,5,37,0.1,-11,Symm,5,0,0
16,1,16,-,1,103,0.25,-17,-,1,0,0
-8,1,-8,-,1,23,0.01,-3,-,1,0,1
23,0.5,-21,-,1,67,0.2,-4,-,1,1,0
6,1,6,-,1,64,0.4,-25,L-skew,2,0,0
21,0.4,19,-,1,46,0.25,16,Symm,9,1,1
14,0.01,4,L-skew,3,4,1,4,R-skew,5,0,0
4,1,4,-,1,11,0.75,-13,L-skew,4,0,0
7,1,7,-,1,10,0.95,-3,-,1,0,0
6,1,6,-,1,2,0.9,-15,-,1,0,0
14,1,14,-,1,20,0.9,-44,-,1,0,0
20,0.6,-50,-,1,14,0.6,-36,-,1,0,0
20,0.99,7,L-skew,6,26,0.8,-5,R-skew,4,0,0
72,0.4,-16,-,1,53,0.6,-36,-,1,0,0
22,1,22,-,1,30,0.6,8,-,1,0,0
86,0.01,25,R-skew,6,62,0.25,20,R-skew,5,0,0
71,0.4,-27,-,1,21,0.1,20,Symm,9,0,0
159,0.05,19,L-skew,3,71,0.05,22,L-skew,7,0,0
65,0.1,-7,R-skew,5,6,0.5,-11,Symm,7,0,0
21,0.1,20,L-skew,5,19,0.01,10,-,1,0,0
27,0.95,24,-,1,37,0.99,-4,Symm,5,0,0
119,0.1,-1,-,1,11,0.5,9,-,1,0,0
17,0.4,-13,Symm,3,44,0.05,1,Symm,3,-1,0
21,1,21,-,1,185,0.2,-8,R-skew,2,0,0
14,1,14,-,1,29,0.2,20,-,1,0,0
-6,1,-6,-,1,7,0.75,-40,Symm,5,0,0
49,0.2,4,-,1,65,0.1,6,-,1,0,1
29,0.9,7,Symm,7,51,0.75,-14,R-skew,7,0,0
6,1,6,-,1,86,0.2,-17,Symm,7,0,1
46,0.2,-20,Symm,3,113,0.2,-28,-,1,0,0
35,0.2,9,-,1,12,0.01,12,Symm,7,0,0
37,0.4,-6,Symm,7,16,0.9,6,L-skew,6,-1,0
2,1,2,-,1,16,0.6,-46,Symm,9,0,0
15,1,15,-,1,48,0.05,11,-,1,0,0
-1,0.75,-22,L-skew,3,-13,0.05,-16,-,1,0,1
76,0.01,-8,L-skew,2,22,0.5,-30,-,1,0,1
-7,1,-7,R-skew,5,-7,1,-7,-,1,0,0
18,1,18,-,1,51,0.2,3,-,1,0,0
10,0.1,-2,L-skew,5,19,0.25,2,-,1,0,0
46,0.05,-1,-,1,68,0.2,-5,Symm,3,1,1
1,1,1,-,1,57,0.1,4,-,1,0,1
-6,0.9,-12,-,1,3,0.8,-46,-,1,0,0
39,0.2,-4,-,1,16,0.75,-39,-,1,0,0
32,0.9,2,Symm,5,38,0.6,23,Symm,9,0,0
-7,1,-7,-,1,233,0.05,-23,Symm,9,0,0
-10,1,-10,-,1,41,0.2,-23,-,1,0,0
34,0.75,-14,R-skew,5,17,0.75,4,Symm,9,0,0
18,1,18,-,1,34,0.75,-32,-,1,0,0
21,1,21,-,1,44,0.75,-25,Symm,5,0,1
45,0.1,7,-,1,88,0.2,-12,-,1,0,0
27,0.8,27,R-skew,3,126,0.1,16,-,1,0,0
12,1,12,-,1,9,0.9,3,Symm,3,0,0
24,1,24,-,1,70,0.1,17,-,1,0,0
25,1,25,-,1,30,0.6,-7,-,1,0,0
24,1,24,-,1,37,0.25,24,Symm,5,0,0
13,1,13,-,1,84,0.25,-14,-,1,0,0
10,0.01,5,-,1,84,0.2,-0,-,1,0,0
8,0.9,-21,-,1,1,0.95,-11,-,1,-1,0
40,0.2,-18,Symm,3,3,0.01,-6,-,1,0,0
40,0.4,8,Symm,5,21,1,21,Symm,3,0,1
13,1,13,-,1,58,0.4,-15,Symm,5,0,0
22,1,22,-,1,39,0.01,34,-,1,0,0
23,1,23,-,1,32,0.95,-32,R-skew,3,0,0
28,1,28,-,1,88,0.4,-6,-,1,0,1
19,0.9,11,-,1,25,0.8,-12,-,1,1,0
27,0.2,2,-,1,8,0.01,2,Symm,5,0,1
16,1,16,-,1,104,0.05,7,-,1,0,1
14,0.25,13,Symm,5,13,1,13,Symm,9,0,0
216,0.05,16,-,1,78,0.4,-5,-,1,0,0
43,0.01,29,-,1,38,0.1,28,-,1,0,0
30,1,30,-,1,27,0.01,27,-,1,0,0
14,1,14,-,1,111,0.2,-10,Symm,3,0,0
18,1,18,-,1,31,0.8,-28,-,1,0,0
6,1,6,-,1,14,0.5,7,-,1,0,1
11,0.25,-5,-,1,-1,1,-1,L-skew,4,0,0
1,1,1,-,1,30,0.5,-19,-,1,0,0
8,1,8,-,1,22,0.05,6,Symm,5,0,0
33,0.75,14,Symm,3,48,0.6,3,-,1,0,0
2,0.5,-4,-,1,-8,0.9,-44,-,1,0,0
27,0.75,-16,-,1,31,0.95,-7,-,1,0,0
17,1,17,-,1,63,0.05,17,-,1,0,0
16,0.99,4,-,1,18,0.9,-12,-,1,0,0
15,1,15,-,1,21,0.1,5,Symm,5,0,0
51,0.05,-11,-,1,30,0.25,-16,-,1,0,0
60,0.5,-18,L-skew,5,31,0.6,12,L-skew,5,0,0
37,0.2,-18,L-skew,3,74,0.4,-43,R-skew,7,0,0
-6,1,-6,-,1,-10,0.99,-18,-,1,0,0
5,0.6,-33,-,1,53,0.01,-20,-,1,0,1
30,1,30,-,1,64,0.5,-5,-,1,0,0
13,0.01,-5,-,1,1,0.5,-31,R-skew,5,1,0
111,0.1,-9,-,1,45,0.4,-24,-,1,0,1
17,0.75,-36,-,1,4,1,4,Symm,9,0,0
-6,1,-6,-,1,1,0.2,-2,-,1,0,1
-8,1,-8,-,1,14,0.5,-36,Symm,3,0,0
9,1,9,-,1,109,0.25,-17,L-skew,5,0,0
8,1,8,-,1,19,0.75,-2,Symm,9,0,0
-5,1,-5,-,1,234,0.05,-14,-,1,0,0
15,0.8,-1,-,1,8,0.9,3,L-skew,5,-1,1
7,1,7,-,1,58,0.2,1,Symm,5,0,0
19,0.8,-5,R-skew,6,24,0.8,-24,-,1,0,1
2,1,2,-,1,12,0.5,-13,-,1,0,0
0,1,0,-,1,39,0.2,-4,-,1,0,0
-6,1,-6,-,1,-8,0.5,-13,-,1,0,1
20,1,20,-,1,16,0.95,7,Symm,9,0,0
11,1,11,-,1,45,0.4,-10,-,1,0,1
-8,1,-8,-,1,3,0.8,-16,-,1,0,0
17,1,17,-,1,24,0.6,13,-,1,0,0
30,1,30,-,1,90,0.4,-3,Symm,9,0,0
62,0.25,-6,L-skew,5,50,0.25,-2,Symm,7,0,1
6,0.6,-14,Symm,3,37,0.05,-2,-,1,0,0
30,1,30,-,1,53,0.5,0,R-skew,2,0,0
15,1,15,-,1,12,0.9,1,Symm,7,0,0
21,1,21,-,1,92,0.05,9,R-skew,4,0,0
30,1,30,-,1,29,0.99,-26,Symm,5,0,0
29,1,29,-,1,29,1,29,L-skew,3,0,0
11,1,11,-,1,125,0.2,-16,L-skew,3,0,0
50,0.5,-20,R-skew,4,14,0.99,-10,R-skew,5,0,0
26,0.8,-44,Symm,5,51,0.05,13,Symm,7,0,0
25,1,25,-,1,75,0.5,-21,-,1,0,0
9,1,9,-,1,20,0.8,14,-,1,0,0
13,1,13,-,1,34,0.01,7,R-skew,2,0,0
8,1,8,-,1,8,1,8,Symm,9,0,0
16,1,16,-,1,47,0.01,9,-,1,0,1
29,1,29,-,1,50,0.4,29,L-skew,5,0,0
75,0.5,-25,L-skew,3,30,0.6,15,-,1,0,0
104,0.25,-43,Symm,3,-6,1,-6,Symm,5,0,0
188,0.05,8,Symm,7,17,0.95,7,-,1,0,0
21,0.99,-12,R-skew,2,22,0.95,-3,-,1,0,0
12,0.25,-9,-,1,3,0.6,-1,-,1,0,0
51,0.1,24,-,1,66,0.05,29,Symm,9,0,0
59,0.05,16,Symm,5,39,0.1,21,Symm,3,0,1
26,0.25,9,-,1,28,0.8,-46,-,1,0,0
-1,1,-1,-,1,60,0.4,-42,Symm,7,0,0
6,1,6,-,1,15,0.2,-7,-,1,0,0
-8,1,-8,-,1,17,0.25,-27,-,1,0,0
37,0.75,-26,-,1,68,0.4,-20,L-skew,4,0,0
16,0.5,-4,-,1,6,1,6,-,1,0,0
3,1,3,-,1,73,0.05,4,-,1,0,0
-10,1,-10,-,1,-9,0.75,-28,R-skew,6,0,1
-1,0.95,-5,-,1,24,0.01,2,-,1,0,0
39,0.75,3,-,1,19,0.95,18,-,1,0,0
17,1,17,-,1,32,0.6,5,Symm,7,0,1
25,0.6,-8,-,1,125,0.2,-14,R-skew,6,0,0
27,1,27,-,1,32,0.8,-38,Symm,5,0,0
9,0.4,-8,-,1,226,0.05,-11,L-skew,4,0,0
16,0.75,-12,-,1,12,0.75,6,R-skew,6,0,0
16,0.05,-8,-,1,38,0.25,-34,Symm,9,0,0
109,0.25,1,L-skew,3,21,0.01,20,-,1,0,0
23,1,23,-,1,34,0.25,17,-,1,0,0
165,0.2,-5,Symm,7,65,0.5,18,R-skew,7,0,0
27,0.8,-17,Symm,3,88,0.1,11,R-skew,2,1,0
57,0.5,-15,R-skew,4,25,0.8,12,R-skew,5,0,0
56,0.01,18,-,1,12,0.8,7,-,1,-1,1
25,1,25,-,1,74,0.5,-50,-,1,0,0
-4,1,-4,-,1,8,0.25,1,R-skew,6,0,1
30,0.4,-27,R-skew,2,-1,0.25,-21,-,1,0,0
30,1,30,-,1,41,0.05,36,-,1,0,0
120,0.25,-36,-,1,38,0.01,5,R-skew,5,1,0
24,1,24,-,1,60,0.05,19,-,1,0,0
35,0.2,18,-,1,21,1,21,-,1,0,0
26,1,26,-,1,26,1,26,L-skew,4,0,1
26,1,26,-,1,26,0.99,3,Symm,5,0,0
16,1,16,-,1,49,0.2,9,Symm,3,0,0
65,0.6,-43,-,1,24,0.8,-14,Symm,7,0,0
12,0.9,1,Symm,7,9,0.6,6,-,1,0,0
27,1,27,-,1,56,0.25,29,-,1,0,0
-3,0.75,-23,L-skew,4,-8,1,-8,-,1,0,0
107,0.25,3,-,1,76,0.2,25,-,1,0,0
41,0.5,9,-,1,85,0.4,-18,L-skew,2,1,1
27,0.5,17,-,1,59,0.1,19,-,1,0,1
27,1,27,-,1,52,0.4,15,-,1,0,0
19,1,19,-,1,45,0.1,15,R-skew,3,0,0
22,1,22,-,1,65,0.01,21,-,1,0,1
29,0.6,-21,-,1,6,0.5,3,-,1,1,1
52,0.6,-18,-,1,49,0.75,-24,-,1,0,0
17,1,17,-,1,29,0.75,-13,R-skew,4,0,0
56,0.6,-17,-,1,20,0.05,19,R-skew,7,0,0
17,1,17,-,1,57,0.4,-17,Symm,3,0,0
209,0.25,-35,-,1,103,0.1,10,Symm,3,0,0
3,1,3,-,1,15,0.75,-39,Symm,3,0,1
17,1,17,-,1,33,0.75,-1,R-skew,4,0,0
24,1,24,-,1,41,0.25,29,R-skew,5,0,0
29,0.95,28,-,1,33,0.2,27,-,1,0,0
-4,1,-4,-,1,-4,1,-4,R-skew,8,0,0
35,0.1,2,-,1,36,0.6,-42,-,1,0,0
44,0.6,-28,-,1,41,0.2,4,-,1,0,0
32,0.1,19,R-skew,3,24,0.75,5,-,1,-1,0
17,1,17,-,1,56,0.6,-36,-,1,0,0
27,1,27,-,1,43,0.5,15,Symm,9,0,0
21,1,21,-,1,24,0.6,22,-,1,0,0
11,0.2,-5,R-skew,2,30,0.01,-13,-,1,-1,0
6,1,6,-,1,13,0.75,-13,L-skew,2,0,0
13,1,13,-,1,29,0.01,16,-,1,0,1
3,1,3,-,1,46,0.25,-6,L-skew,2,0,0
27,1,27,-,1,40,0.5,27,-,1,0,1
10,1,10,Symm,3,23,0.2,5,R-skew,7,0,1
30,1,30,Symm,7,34,0.9,-22,Symm,7,0,1
25,1,25,-,1,79,0.4,-9,-,1,0,1
124,0.2,-11,Symm,3,91,0.01,13,R-skew,7,0,0
17,1,17,-,1,104,0.2,-19,Symm,9,0,0
67,0.25,-5,-,1,17,0.99,-9,-,1,0,0
1,1,1,-,1,81,0.05,-9,-,1,0,0
8,1,8,-,1,6,0.99,3,L-skew,2,0,0
55,0.25,-29,R-skew,4,-12,0.9,-26,R-skew,7,0,0
20,1,20,-,1,27,0.5,-3,-,1,0,0
28,1,28,-,1,32,0.75,-14,-,1,0,1
4,1,4,-,1,33,0.5,-35,-,1,0,0
2,1,2,-,1,108,0.05,-11,-,1,0,1
55,0.01,15,-,1,20,0.4,1,-,1,0,0
44,0.05,22,-,1,42,0.4,-6,Symm,3,0,0
17,1,17,-,1,19,0.75,19,L-skew,6,0,0
173,0.2,-32,-,1,14,0.25,13,-,1,0,0
